"samples" "sex" "species" "Site.ID" "Lat" "Long" "Site.Name" "Country" "Province" "Ocean.drainage" "Country_Ocean" "site.sub" "site.sub.county" "site.sub.county.drain" "pca1" "pca2" "pca3" "pca4" "pca5" "pca6" "assign"
"99" "HCICa01" "M" "titia" "HCIC01" 28.09 -82.09 "Hillsborough County Itchepackesassa Creek" "United States" "Florida" "Gulf" "Gulf_United States" "HCIC" "HCIC_United States" "HCIC_United States_Gulf" 19.508 -20.3247 -0.0459645 0.121012 -15.7174 0.329066 "1"
"100" "HCICa02" "M" "titia" "HCIC01" 28.09 -82.09 "Hillsborough County Itchepackesassa Creek" "United States" "Florida" "Gulf" "Gulf_United States" "HCIC" "HCIC_United States" "HCIC_United States_Gulf" 19.2688 -20.1318 0.00719813 0.0971331 -15.0001 0.529676 "1"
"101" "HCICa03" "F" "titia" "HCIC01" 28.09 -82.09 "Hillsborough County Itchepackesassa Creek" "United States" "Florida" "Gulf" "Gulf_United States" "HCIC" "HCIC_United States" "HCIC_United States_Gulf" 18.9701 -19.5608 0.0135337 0.0841136 -13.8913 0.491747 "1"
"102" "HtiCn13" "M" "titia" "HtiCn" 18.25 -103.23 "Cachán" "Mexico" "Michoacán" "Pacific" "Pacific_Mexico" "HtiCn" "HtiCn_Mexico" "HtiCn_Mexico_Pacific" -64.5385 -2.7267 -19.1166 30.6947 0.0618257 -0.000260921 "3"
"103" "HtiCn2" "M" "titia" "HtiCn" 18.25 -103.23 "Cachán" "Mexico" "Michoacán" "Pacific" "Pacific_Mexico" "HtiCn" "HtiCn_Mexico" "HtiCn_Mexico_Pacific" -64.9997 -2.72504 -20.127 26.8073 -0.295981 0.0439387 "3"
"104" "HtiCn7" "M" "titia" "HtiCn" 18.25 -103.23 "Cachán" "Mexico" "Michoacán" "Pacific" "Pacific_Mexico" "HtiCn" "HtiCn_Mexico" "HtiCn_Mexico_Pacific" -53.4419 -2.48365 -16.456 24.8883 -0.486299 -0.0783378 "3"
"105" "HtiNR1" "M" "titia" "HtiNR" 15.9 -91.99 "Nuevo Recuerdo" "Mexico" "Chiapas" "Gulf" "Gulf_Mexico" "HtiNR" "HtiNR_Mexico" "HtiNR_Mexico_Gulf" 13.7551 27.1864 -0.0693884 -0.0694194 -0.485819 -2.59103 "2"
"106" "HtiPo10" "M" "titia" "HtiPo" 18.04 -103.54 "Popoyuta" "Mexico" "Michoacán" "Pacific" "Pacific_Mexico" "HtiPo" "HtiPo_Mexico" "HtiPo_Mexico_Pacific" -55.0863 -2.58436 -17.6735 26.3985 0.0892026 0.313405 "3"
"107" "HtiPo2" "M" "titia" "HtiPo" 18.04 -103.54 "Popoyuta" "Mexico" "Michoacán" "Pacific" "Pacific_Mexico" "HtiPo" "HtiPo_Mexico" "HtiPo_Mexico_Pacific" -60.1908 -2.63021 -18.3588 25.7204 0.289641 0.36192 "3"
"108" "HtiPo6" "M" "titia" "HtiPo" 18.04 -103.54 "Popoyuta" "Mexico" "Michoacán" "Pacific" "Pacific_Mexico" "HtiPo" "HtiPo_Mexico" "HtiPo_Mexico_Pacific" -54.7508 -2.39411 -15.9227 26.2352 0.321878 0.108169 "3"
"109" "HtiTi14" "M" "titia" "HtiTi" 18.67 -103.69 "El Ticuiz" "Mexico" "Michoacán" "Pacific" "Pacific_Mexico" "HtiTi" "HtiTi_Mexico" "HtiTi_Mexico_Pacific" -54.8712 -2.86052 -18.589 28.5819 0.13689 0.0188177 "3"
"110" "HtiTi15" "M" "titia" "HtiTi" 18.67 -103.69 "El Ticuiz" "Mexico" "Michoacán" "Pacific" "Pacific_Mexico" "HtiTi" "HtiTi_Mexico" "HtiTi_Mexico_Pacific" -56.052 -2.76249 -17.6979 29.3918 -0.123198 0.318085 "3"
"111" "HXRCb05" "F" "titia" "HXRC02" 15.75 -96.3 "" "Mexico" "Oaxaca" "Pacific" "Pacific_Mexico" "HXRC" "HXRC_Mexico" "HXRC_Mexico_Pacific" -64.6952 -2.5981 -19.3378 25.8507 0.0305558 0.0640583 "3"
"112" "HXRCb06" "F" "titia" "HXRC02" 15.75 -96.3 "" "Mexico" "Oaxaca" "Pacific" "Pacific_Mexico" "HXRC" "HXRC_Mexico" "HXRC_Mexico_Pacific" -65.0232 -2.66795 -20.1142 27.5523 0.0994512 -0.116405 "3"
"113" "HXRCb08" "M" "titia" "HXRC02" 15.75 -96.3 "" "Mexico" "Oaxaca" "Pacific" "Pacific_Mexico" "HXRC" "HXRC_Mexico" "HXRC_Mexico_Pacific" -64.9545 -2.64795 -19.2717 25.5664 0.0586477 0.041376 "3"
"114" "IA0406" "M" "titia" "IA04" 41.3 -94.07 "Middle River2" "United States" "Iowa" "Gulf" "Gulf_United States" "IA" "IA_United States" "IA_United States_Gulf" 19.1875 -20.353 -0.161971 0.0207837 -3.15904 0.252269 "1"
"115" "IA0408" "M" "titia" "IA04" 41.3 -94.07 "Middle River3" "United States" "Iowa" "Gulf" "Gulf_United States" "IA" "IA_United States" "IA_United States_Gulf" 17.0128 -17.2115 0.077877 -0.157502 -3.57923 -0.0794702 "1"
"116" "IA0413" "M" "titia" "IA04" 41.3 -94.07 "Middle River6" "United States" "Iowa" "Gulf" "Gulf_United States" "IA" "IA_United States" "IA_United States_Gulf" 19.5685 -20.4711 -0.0761989 -0.102673 -2.49542 -0.0432007 "1"
"117" "IA0416" "F" "titia" "IA04" 41.3 -94.07 "Middle River0" "United States" "Iowa" "Gulf" "Gulf_United States" "IA" "IA_United States" "IA_United States_Gulf" 19.1959 -19.7551 -0.0474768 -0.182588 -2.20421 0.0128688 "1"
"118" "IA0417" "M" "titia" "IA04" 41.3 -94.07 "Middle River2" "United States" "Iowa" "Gulf" "Gulf_United States" "IA" "IA_United States" "IA_United States_Gulf" 19.2044 -19.4289 -0.0605044 -0.207629 -1.78446 -0.0280787 "1"
"119" "IA0418" "M" "titia" "IA04" 41.3 -94.07 "Middle River4" "United States" "Iowa" "Gulf" "Gulf_United States" "IA" "IA_United States" "IA_United States_Gulf" 17.2004 -15.7447 -0.195333 0.143398 -4.08516 -0.00813377 "1"
"120" "IL0121" "M" "titia" "IL01" 42.32 -89.36 "Pecatonica River" "United States" "Illinois" "Gulf" "Gulf_United States" "IL" "IL_United States" "IL_United States_Gulf" 18.8123 -19.7324 -0.152438 -0.144996 -5.42783 0.0624195 "1"
"121" "IL0123" "M" "titia" "IL01" 42.32 -89.36 "Pecatonica River" "United States" "Illinois" "Gulf" "Gulf_United States" "IL" "IL_United States" "IL_United States_Gulf" 17.7678 -18.0804 -0.0780933 -0.0836611 -6.46418 0.162711 "1"
"122" "IL0135" "M" "titia" "IL01" 42.32 -89.36 "Pecatonica River" "United States" "Illinois" "Gulf" "Gulf_United States" "IL" "IL_United States" "IL_United States_Gulf" 16.6591 -16.9652 0.0345698 -0.296957 -4.95686 -0.0632603 "1"
"123" "IL0140" "F" "titia" "IL01" 42.32 -89.36 "Pecatonica River" "United States" "Illinois" "Gulf" "Gulf_United States" "IL" "IL_United States" "IL_United States_Gulf" 16.7727 -17.4321 -0.161345 0.0178565 -2.87777 -0.0698582 "1"
"124" "Il0408" "M" "titia" "IL04" 42.02 -89.33 "Rock River" "United States" "Illinois" "Gulf" "Gulf_United States" "IL" "IL_United States" "IL_United States_Gulf" 19.2733 -19.8843 -0.132621 -0.145186 -7.28912 0.0597263 "1"
"125" "Il0409" "M" "titia" "IL04" 42.02 -89.33 "Rock River" "United States" "Illinois" "Gulf" "Gulf_United States" "IL" "IL_United States" "IL_United States_Gulf" 19.065 -19.5487 -0.0547064 -0.329941 -6.15123 0.0641644 "1"
"126" "IL0413" "M" "titia" "IL04" 42.02 -89.33 "Rock River" "United States" "Illinois" "Gulf" "Gulf_United States" "IL" "IL_United States" "IL_United States_Gulf" 19.1701 -19.4082 -0.0257189 -0.161608 -5.50653 0.0517624 "1"
"127" "LCPCa02" "M" "titia" "LCPC1" 31.14 -89.64 "Pitman Creek" "United States" "Mississippi" "Gulf" "Gulf_United States" "LCPC" "LCPC_United States" "LCPC_United States_Gulf" 19.1329 -18.6607 -0.0652328 -0.352455 9.22891 -0.494031 "1"
"128" "LCPCa03" "M" "titia" "LCPC1" 31.14 -89.64 "Pitman Creek" "United States" "Mississippi" "Gulf" "Gulf_United States" "LCPC" "LCPC_United States" "LCPC_United States_Gulf" 16.3821 -15.9379 -0.229837 -0.108227 9.66972 -0.0976761 "1"
"129" "LCSBc01" "M" "titia" "LCSB3" 31.16 -89.61 "Sandy Branch" "United States" "Mississippi" "Gulf" "Gulf_United States" "LCSB" "LCSB_United States" "LCSB_United States_Gulf" 19.2761 -18.2976 -0.054345 -0.0578217 8.43887 -0.261001 "1"
"130" "MACM02" "F" "titia" "MACM" 10.1 -83.25 "Cuatro Millas" "Costa Rica" "Limón" "Carribbean" "Carribbean_Costa Rica" "MACM" "MACM_Costa Rica" "MACM_Costa Rica_Carribbean" 12.7158 24.8219 -0.0809792 -0.00706569 -0.199414 19.8814 "2"
"131" "MC02.001" "M" "titia" "MC02" 30.49 -94.83 "Menard Creek" "United States" "Texas" "Gulf" "Gulf_United States" "MC" "MC_United States" "MC_United States_Gulf" 16.4204 -15.5432 0.0047671 0.0887306 11.5387 0.241705 "1"
"132" "MC02.002" "M" "titia" "MC02" 30.49 -94.83 "Menard Creek" "United States" "Texas" "Gulf" "Gulf_United States" "MC" "MC_United States" "MC_United States_Gulf" 17.0913 -16.1529 -0.118189 -0.0465301 13.6579 0.0050029 "1"
"133" "MC02.003" "M" "titia" "MC02" 30.49 -94.83 "Menard Creek" "United States" "Texas" "Gulf" "Gulf_United States" "MC" "MC_United States" "MC_United States_Gulf" 18.419 -17.3635 -0.134138 -0.252226 14.153 -0.0181849 "1"
"134" "MEBA013928" "F" "titia" "MEBA01" 29.72 -99.08 "Medina River in Bandera" "United States" "Texas" "Gulf" "Gulf_United States" "MEBA" "MEBA_United States" "MEBA_United States_Gulf" 18.609 -17.3594 -0.243754 -0.277564 13.0643 0.00473843 "1"
"135" "MI0111" "M" "titia" "MI01" 42.23 -84.49 "Sandstone Creek" "United States" "Michigan" "Atlantic" "Atlantic_United States" "MI" "MI_United States" "MI_United States_Atlantic" 19.1546 -19.7532 -0.0812338 -0.0850249 -12.0388 0.101268 "1"
"136" "MI0112" "M" "titia" "MI01" 42.23 -84.49 "Sandstone Creek" "United States" "Michigan" "Atlantic" "Atlantic_United States" "MI" "MI_United States" "MI_United States_Atlantic" 18.2475 -19.2111 0.0963515 0.0818145 -11.4174 -0.0944143 "1"
"137" "MI0113" "M" "titia" "MI01" 42.23 -84.49 "Sandstone Creek" "United States" "Michigan" "Atlantic" "Atlantic_United States" "MI" "MI_United States" "MI_United States_Atlantic" 18.7545 -19.1742 0.0568518 -0.0611756 -10.4162 0.0833842 "1"
"138" "MI0114" "F" "titia" "MI02" 42.23 -84.49 "Sandstone Creek" "United States" "Michigan" "Atlantic" "Atlantic_United States" "MI" "MI_United States" "MI_United States_Atlantic" 18.6609 -19.6737 -0.0214127 0.0192621 -12.5259 0.204126 "1"
"139" "MI0162" "F" "titia" "MI01" 42.23 -84.49 "Sandstone Creek" "United States" "Michigan" "Atlantic" "Atlantic_United States" "MI" "MI_United States" "MI_United States_Atlantic" 15.9883 -17.6879 -0.0529191 -0.105773 -10.7489 0.0799671 "1"
"140" "MI0225" "F" "titia" "MI02" 42.5 -83.74 "Huron River" "United States" "Michigan" "Atlantic" "Atlantic_United States" "MI" "MI_United States" "MI_United States_Atlantic" 19.0018 -19.0955 0.135127 -0.136174 -9.89278 -0.329508 "1"
"141" "MI0230" "F" "titia" "MI02" 42.5 -83.74 "Huron River" "United States" "Michigan" "Atlantic" "Atlantic_United States" "MI" "MI_United States" "MI_United States_Atlantic" 18.1464 -18.029 -0.0596126 -0.0181519 -10.6466 -0.144824 "1"
"142" "MI0238" "M" "titia" "MI02" 42.5 -83.74 "Huron River" "United States" "Michigan" "Atlantic" "Atlantic_United States" "MI" "MI_United States" "MI_United States_Atlantic" 18.8403 -19.5403 -0.0331847 -0.11958 -10.32 -0.206085 "1"
"143" "MI0239" "M" "titia" "MI02" 42.5 -83.74 "Huron River" "United States" "Michigan" "Atlantic" "Atlantic_United States" "MI" "MI_United States" "MI_United States_Atlantic" 15.4307 -15.9219 0.116705 -0.154964 -9.24681 0.171161 "1"
"144" "MIXTa02" "M" "titia" "MIXT01" 17.2 -95.21 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "MIXT" "MIXT_Mexico" "MIXT_Mexico_Gulf" 14.2148 28.3531 0.114423 0.209425 -1.16526 -4.49823 "2"
"145" "MIXTa04" "M" "titia" "MIXT01" 17.2 -95.21 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "MIXT" "MIXT_Mexico" "MIXT_Mexico_Gulf" 14.104 27.7865 0.0760606 -0.163349 -1.73287 -2.60594 "2"
"146" "MIXTa05" "M" "titia" "MIXT01" 17.2 -95.21 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "MIXT" "MIXT_Mexico" "MIXT_Mexico_Gulf" 14.5284 25.4911 0.116313 -0.0931051 1.35081 -3.16582 "2"
"147" "MIXTa10" "M" "titia" "MIXT01" 17.2 -95.21 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "MIXT" "MIXT_Mexico" "MIXT_Mexico_Gulf" 12.8642 23.7137 -0.26841 -0.16393 0.131619 -3.73935 "2"
"148" "MO0210" "M" "titia" "MO02" 36.95 -90.99 "Current River" "United States" "Missouri" "Gulf" "Gulf_United States" "MO" "MO_United States" "MO_United States_Gulf" 18.9768 -18.9765 -0.167479 -0.184774 5.77178 0.252666 "1"
"149" "MO0211" "M" "titia" "MO02" 36.95 -90.99 "Current River" "United States" "Missouri" "Gulf" "Gulf_United States" "MO" "MO_United States" "MO_United States_Gulf" 18.9884 -18.7818 -0.0675357 -0.271788 2.56077 0.289675 "1"
"150" "MO0309" "M" "titia" "MO03" 36.56 -90.35 "Black River2" "United States" "Missouri" "Gulf" "Gulf_United States" "MO" "MO_United States" "MO_United States_Gulf" 17.6513 -17.4347 0.0282115 -0.353026 3.00908 -0.222354 "1"
"151" "MO0311" "M" "titia" "MO03" 36.56 -90.35 "Black River3" "United States" "Missouri" "Gulf" "Gulf_United States" "MO" "MO_United States" "MO_United States_Gulf" 16.7257 -16.6785 0.204714 -0.39001 2.89043 -0.339536 "1"
"152" "MO0313" "M" "titia" "MO03" 36.56 -90.35 "Black River4" "United States" "Missouri" "Gulf" "Gulf_United States" "MO" "MO_United States" "MO_United States_Gulf" 18.5301 -18.7317 0.0302066 -0.217051 3.11313 -0.0853193 "1"
"153" "MO0351" "F" "titia" "MO03" 36.56 -90.35 "Black River4" "United States" "Missouri" "Gulf" "Gulf_United States" "MO" "MO_United States" "MO_United States_Gulf" 19.1015 -19.1174 -0.00802358 -0.162313 3.90336 -0.0866511 "1"
"154" "MS0108" "M" "titia" "MS01" 32.52 -90.74 "Ballground Creek" "United States" "Mississippi" "Gulf" "Gulf_United States" "MS" "MS_United States" "MS_United States_Gulf" 18.1723 -17.4645 0.0803694 -0.0539474 6.97706 -0.00470017 "1"
"155" "MS0114" "M" "titia" "MS01" 32.52 -90.74 "Ballground Creek" "United States" "Mississippi" "Gulf" "Gulf_United States" "MS" "MS_United States" "MS_United States_Gulf" 18.4357 -17.3809 -0.01255 0.0499565 8.73816 -0.31988 "1"
"156" "MS0116" "M" "titia" "MS01" 32.52 -90.74 "Ballground Creek" "United States" "Mississippi" "Gulf" "Gulf_United States" "MS" "MS_United States" "MS_United States_Gulf" 18.588 -17.8044 -0.17859 -0.113041 6.98166 0.0924467 "1"
"157" "NA0103" "M" "titia" "NA01" 9.74 -84.63 "Pita" "Costa Rica" "" "Pacific" "Pacific_Costa Rica" "NA01" "NA01_Costa Rica" "NA01_Costa Rica_Pacific" -52.6846 -2.08933 43.3164 1.90929 0.0569025 0.195762 "3"
"158" "NCRRb04" "M" "titia" "NCRR02" 37.84 -78.81 "Nelson County Rockfish River" "United States" "Virginia" "Atlantic" "Atlantic_United States" "NCRR" "NCRR_United States" "NCRR_United States_Atlantic" 18.8743 -18.9962 -0.0252293 -0.00252986 -8.45831 -0.274838 "1"
"159" "NCRRb05" "M" "titia" "NCRR02" 37.84 -78.81 "Nelson County Rockfish River" "United States" "Virginia" "Atlantic" "Atlantic_United States" "NCRR" "NCRR_United States" "NCRR_United States_Atlantic" 17.9909 -18.4247 0.037964 -0.328625 -8.40206 -0.2173 "1"
"160" "NMSCa01" "M" "titia" "NMSC01" 15.77 -93.3 "" "Mexico" "Chiapas" "Pacific" "Pacific_Mexico" "NMSC" "NMSC_Mexico" "NMSC_Mexico_Pacific" -65.6402 -2.80535 -16.0457 -25.3966 -0.0790828 -0.0550229 "3"
"161" "NMSCa02" "M" "titia" "NMSC01" 15.77 -93.3 "" "Mexico" "Chiapas" "Pacific" "Pacific_Mexico" "NMSC" "NMSC_Mexico" "NMSC_Mexico_Pacific" -62.317 -2.81135 -14.0022 -22.5938 0.167928 0.323305 "3"
"162" "NMSCa05" "M" "titia" "NMSC01" 15.77 -93.3 "" "Mexico" "Chiapas" "Pacific" "Pacific_Mexico" "NMSC" "NMSC_Mexico" "NMSC_Mexico_Pacific" -62.5397 -2.37405 -12.7742 -21.429 -0.279782 -0.0409173 "3"
"163" "NPKBa05" "F" "titia" "NPKB1" 31.52 -93.14 "Natchitoches Paris Kisatchie Bayou" "United States" "Louisiana" "Gulf" "Gulf_United States" "NPKB" "NPKB_United States" "NPKB_United States_Gulf" 19.2599 -17.8226 -0.195249 -0.23436 13.133 0.566281 "1"
"164" "NPKBa06" "F" "titia" "NPKB1" 31.52 -93.14 "Natchitoches Paris Kisatchie Bayou" "United States" "Louisiana" "Gulf" "Gulf_United States" "NPKB" "NPKB_United States" "NPKB_United States_Gulf" 18.8881 -18.2273 -0.0566468 -0.0355007 15.1063 0.336893 "1"
"165" "NPKBa10" "M" "titia" "NPKB1" 31.52 -93.14 "Natchitoches Paris Kisatchie Bayou" "United States" "Louisiana" "Gulf" "Gulf_United States" "NPKB" "NPKB_United States" "NPKB_United States_Gulf" 16.1496 -14.9499 -0.115705 -0.0473756 12.0959 0.033655 "1"
"166" "NR01.01" "M" "titia" "NR01" 30.36 -94.09 "Neches River" "United States" "Texas" "Gulf" "Gulf_United States" "NR" "NR_United States" "NR_United States_Gulf" 18.1989 -17.393 -0.0681444 -0.400742 14.5696 -0.184205 "1"
"167" "NR02.06" "M" "titia" "NR02" 30.68 -94.09 "Neches River" "United States" "Texas" "Gulf" "Gulf_United States" "NR" "NR_United States" "NR_United States_Gulf" 18.9658 -18.524 -0.0892012 -0.271099 12.6238 -0.507287 "1"
"168" "OK0101" "M" "titia" "OK01" 35.24 -98.55 "Cobb Creek" "United States" "Oklahoma" "Gulf" "Gulf_United States" "OK" "OK_United States" "OK_United States_Gulf" 18.9785 -17.5572 -0.186481 -0.21658 14.0213 0.0274712 "1"
"169" "PAa01" "M" "titia" "PA" 18.55 -95.07 "La Palma" "Mexico" "Veracruz" "Gulf" "Gulf_Mexico" "PA" "PA_Mexico" "PA_Mexico_Gulf" 14.4329 27.249 0.0824836 -0.0369477 -0.248979 -7.60875 "2"
"170" "PAa02" "M" "titia" "PA" 18.55 -95.07 "La Palma" "Mexico" "Veracruz" "Gulf" "Gulf_Mexico" "PA" "PA_Mexico" "PA_Mexico_Gulf" 13.9929 26.1353 -0.0015011 0.0594563 -0.00988208 -2.61512 "2"
"171" "PAa07" "F" "titia" "PA" 18.55 -95.07 "La Palma" "Mexico" "Veracruz" "Gulf" "Gulf_Mexico" "PA" "PA_Mexico" "PA_Mexico_Gulf" 13.0113 23.6064 0.288902 -0.039028 -0.0151231 -3.75541 "2"
"172" "PC01.024" "M" "titia" "PC01" 31.08 -93.49 "Pearl Creek" "United States" "Louisiana" "Gulf" "Gulf_United States" "PC" "PC_United States" "PC_United States_Gulf" 19.379 -18.4854 -0.133832 -0.283564 14.1226 -0.390013 "1"
"173" "PCa01" "M" "titia" "PC01" 31.08 -93.49 "Pearl Creek" "United States" "Louisiana" "Gulf" "Gulf_United States" "PC" "PC_United States" "PC_United States_Gulf" 18.7463 -18.3021 0.0247485 -0.200938 10.3397 0.0844577 "1"
"174" "PCCC1" "M" "titia" "PCCC1" 30.99 -89.01 "Cypress Creek" "United States" "Mississippi" "Gulf" "Gulf_United States" "PCCC" "PCCC_United States" "PCCC_United States_Gulf" 18.1226 -17.8245 0.154027 -0.133272 6.17947 -0.00210071 "1"
"175" "PSa03" "M" "titia" "ps01" 9.54 -84.28 "Palo Seco" "Costa Rica" "Puntarenas" "Pacific" "Pacific_Costa Rica" "ps" "ps_Costa Rica" "ps_Costa Rica_Pacific" -61.8402 -2.31553 54.1651 2.65066 -0.272612 0.0639567 "3"
"176" "PSa04" "M" "titia" "ps01" 9.54 -84.28 "Palo Seco" "Costa Rica" "Puntarenas" "Pacific" "Pacific_Costa Rica" "ps" "ps_Costa Rica" "ps_Costa Rica_Pacific" -61.7679 -2.35418 53.3835 2.99287 0.233353 -0.0259902 "3"
"177" "PSa06" "B" "titia" "ps01" 9.54 -84.28 "Palo Seco" "Costa Rica" "Puntarenas" "Pacific" "Pacific_Costa Rica" "ps" "ps_Costa Rica" "ps_Costa Rica_Pacific" -57.0623 -2.09954 49.7119 2.13464 -0.0492131 -0.0842203 "3"
"178" "PUMAa04" "F" "titia" "PUMA01" 15.77 -93.33 "" "Mexico" "Chiapas" "Pacific" "Pacific_Mexico" "PUMA" "PUMA_Mexico" "PUMA_Mexico_Pacific" -65.149 -2.45782 -15.0858 -24.2519 -0.110835 0.0463355 "3"
"179" "PUMAa08" "M" "titia" "PUMA01" 15.77 -93.33 "" "Mexico" "Chiapas" "Pacific" "Pacific_Mexico" "PUMA" "PUMA_Mexico" "PUMA_Mexico_Pacific" -64.9905 -2.90133 -13.4812 -23.7649 -0.0411786 0.0820852 "3"
"180" "RCJRa02" "M" "titia" "RCJR01" 37.52 -77.47 "Richmond City James River" "United States" "Virginia" "Atlantic" "Atlantic_United States" "RCJR" "RCJR_United States" "RCJR_United States_Atlantic" 19.106 -19.0573 -0.0943324 -0.136584 -7.9617 0.149827 "1"
"181" "RCJRa04" "M" "titia" "RCJR01" 37.52 -77.47 "Richmond City James River" "United States" "Virginia" "Atlantic" "Atlantic_United States" "RCJR" "RCJR_United States" "RCJR_United States_Atlantic" 18.2932 -17.8463 0.00164643 -0.0146856 -8.19097 -0.185311 "1"
"182" "RCJRa05" "M" "titia" "RCJR01" 37.52 -77.47 "Richmond City James River" "United States" "Virginia" "Atlantic" "Atlantic_United States" "RCJR" "RCJR_United States" "RCJR_United States_Atlantic" 18.9039 -19.076 -0.0844214 -0.124294 -9.08749 -0.157753 "1"
"183" "RCJRb02" "M" "titia" "RCJR02" 37.55 -77.52 "Richmond City James River" "United States" "Virginia" "Atlantic" "Atlantic_United States" "RCJR" "RCJR_United States" "RCJR_United States_Atlantic" 18.8389 -19.2894 0.225992 -0.0600662 -8.30364 0.0976622 "1"
"184" "RCJRb04" "M" "titia" "RCJR02" 37.55 -77.52 "Richmond City James River" "United States" "Virginia" "Atlantic" "Atlantic_United States" "RCJR" "RCJR_United States" "RCJR_United States_Atlantic" 19.1732 -19.5302 -0.0298561 -0.0587076 -8.9479 -0.18283 "1"
"185" "RLPEa05" "M" "titia" "RLPE01" 16.52 -95.07 "" "Mexico" "Oaxaca" "Pacific" "Pacific_Mexico" "RLPE" "RLPE_Mexico" "RLPE_Mexico_Pacific" -52.832 -1.82973 -11.8336 -20.8389 -0.521167 -0.159261 "3"
"186" "RLPEa06" "M" "titia" "RLPE01" 16.52 -95.07 "" "Mexico" "Oaxaca" "Pacific" "Pacific_Mexico" "RLPE" "RLPE_Mexico" "RLPE_Mexico_Pacific" -64.7172 -2.59879 -13.6969 -21.0405 -0.286538 0.214228 "3"
"187" "RLPEa08" "M" "titia" "RLPE01" 16.52 -95.07 "" "Mexico" "Oaxaca" "Pacific" "Pacific_Mexico" "RLPE" "RLPE_Mexico" "RLPE_Mexico_Pacific" -64.8004 -2.54977 -14.2987 -20.8262 -0.175822 -0.0251354 "3"
"188" "RLPEa09" "M" "titia" "RLPE01" 16.52 -95.07 "" "Mexico" "Oaxaca" "Pacific" "Pacific_Mexico" "RLPE" "RLPE_Mexico" "RLPE_Mexico_Pacific" -63.2127 -2.31803 -14.0345 -20.5886 -0.0330008 0.128821 "3"
"189" "RLPEb01" "F" "titia" "RLPE02" 16.56 -95.1 "" "Mexico" "Oaxaca" "Pacific" "Pacific_Mexico" "RLPE" "RLPE_Mexico" "RLPE_Mexico_Pacific" -61.4577 -2.19893 -14.0323 -20.2609 0.163584 -0.295376 "3"
"190" "RLPEb02" "M" "titia" "RLPE02" 16.56 -95.1 "" "Mexico" "Oaxaca" "Pacific" "Pacific_Mexico" "RLPE" "RLPE_Mexico" "RLPE_Mexico_Pacific" -64.3406 -2.59832 -13.4041 -21.7002 -0.145498 -0.209914 "3"
"191" "SCSCa01" "F" "titia" "SCSC01" 28.72 -81.31 "Seminole County Soldier Creek" "United States" "Florida" "Atlantic" "Atlantic_United States" "SCSC" "SCSC_United States" "SCSC_United States_Atlantic" 19.2985 -19.9142 -0.0043446 0.0586337 -14.9133 0.2607 "1"
"192" "SCSCa02" "F" "titia" "SCSC01" 28.72 -81.31 "Seminole County Soldier Creek" "United States" "Florida" "Atlantic" "Atlantic_United States" "SCSC" "SCSC_United States" "SCSC_United States_Atlantic" 18.9789 -19.1495 0.038402 0.123787 -13.1667 0.195444 "1"
"193" "SCSCa03" "F" "titia" "SCSC01" 28.72 -81.31 "Seminole County Soldier Creek" "United States" "Florida" "Atlantic" "Atlantic_United States" "SCSC" "SCSC_United States" "SCSC_United States_Atlantic" 19.5387 -20.0238 -0.0157402 0.0591604 -15.8467 0.286172 "1"
"194" "SJ01.21" "M" "titia" "SJ01_US" 30.21 -95.4 "San Jacinto River" "United States" "Texas" "Gulf" "Gulf_United States" "SJ_US" "SJ_US_United States" "SJ_US_United States_Gulf" 18.1559 -16.4301 -0.127156 -0.184192 15.3265 -0.0136539 "1"
"195" "SMAA06" "M" "titia" "SMAA2" 10.04 -83.33 "" "Costa Rica" "Limón" "Carribbean" "Carribbean_Costa Rica" "SMAA" "SMAA_Costa Rica" "SMAA_Costa Rica_Carribbean" 14.3255 28.1325 0.186005 0.10243 -0.10651 30.3702 "2"
"196" "SMAA07" "MM" "titia" "SMAA2" 10.04 -83.33 "" "Costa Rica" "Limón" "Carribbean" "Carribbean_Costa Rica" "SMAA" "SMAA_Costa Rica" "SMAA_Costa Rica_Carribbean" 14.4726 28.6835 -0.0904478 -0.226009 0.201993 36.2869 "2"
"197" "ST0102" "M" "titia" "ST01" 9.38 -84.02 "Savegre Trib" "Costa Rica" "Puntarenas" "Pacific" "Pacific_Costa Rica" "ST" "ST_Costa Rica" "ST_Costa Rica_Pacific" -55.1606 -1.85175 47.0568 1.67352 -0.0252945 0.204497 "3"
"198" "ST0103" "M" "titia" "ST01" 9.38 -84.02 "Savegre Trib" "Costa Rica" "Puntarenas" "Pacific" "Pacific_Costa Rica" "ST" "ST_Costa Rica" "ST_Costa Rica_Pacific" -61.4857 -2.26201 52.7432 2.94191 0.0184577 -0.0418171 "3"
"199" "STDMa04" "M" "titia" "STDM01" 15.82 -96.69 "" "Mexico" "Oaxaca" "Pacific" "Pacific_Mexico" "STDM" "STDM_Mexico" "STDM_Mexico_Pacific" -65.2567 -2.83196 -20.2368 29.2628 0.275084 0.234106 "3"
